support,itemsets,itemsets_str
0.06557377049180328,"frozenset({'Drunk Elephant', 'PATRICK TA'})","Drunk Elephant, PATRICK TA"
0.0546448087431694,"frozenset({'Drunk Elephant', 'ROSE INC'})","Drunk Elephant, ROSE INC"
0.1366120218579235,"frozenset({'Drunk Elephant', 'Rare Beauty'})","Drunk Elephant, Rare Beauty"
0.1092896174863388,"frozenset({'Drunk Elephant', 'Sol de Janeiro'})","Drunk Elephant, Sol de Janeiro"
0.07103825136612021,"frozenset({'Drunk Elephant', 'tarte'})","Drunk Elephant, tarte"
0.09836065573770492,"frozenset({'Huda Beauty', 'Fenty Beauty'})","Huda Beauty, Fenty Beauty"
0.07650273224043716,"frozenset({'NARS', 'Fenty Beauty'})","NARS, Fenty Beauty"
0.09289617486338798,"frozenset({'Rare Beauty', 'Fenty Beauty'})","Rare Beauty, Fenty Beauty"
0.060109289617486336,"frozenset({'Too Faced', 'Fenty Beauty'})","Too Faced, Fenty Beauty"
0.060109289617486336,"frozenset({'MAKEUP BY MARIO', 'Hourglass'})","MAKEUP BY MARIO, Hourglass"
0.09836065573770492,"frozenset({'PATRICK TA', 'Hourglass'})","PATRICK TA, Hourglass"
0.060109289617486336,"frozenset({'Hourglass', 'Rare Beauty'})","Hourglass, Rare Beauty"
0.07650273224043716,"frozenset({'NARS', 'Huda Beauty'})","NARS, Huda Beauty"
0.060109289617486336,"frozenset({'Huda Beauty', 'ROSE INC'})","Huda Beauty, ROSE INC"
0.1092896174863388,"frozenset({'Huda Beauty', 'Rare Beauty'})","Huda Beauty, Rare Beauty"
0.0546448087431694,"frozenset({'Huda Beauty', 'tarte'})","Huda Beauty, tarte"
0.07650273224043716,"frozenset({'MAKEUP BY MARIO', 'PATRICK TA'})","MAKEUP BY MARIO, PATRICK TA"
0.06557377049180328,"frozenset({'MAKEUP BY MARIO', 'Rare Beauty'})","MAKEUP BY MARIO, Rare Beauty"
0.10382513661202186,"frozenset({'NARS', 'Rare Beauty'})","NARS, Rare Beauty"
0.08196721311475409,"frozenset({'PATRICK TA', 'Rare Beauty'})","PATRICK TA, Rare Beauty"
0.06557377049180328,"frozenset({'Sol de Janeiro', 'Rare Beauty'})","Sol de Janeiro, Rare Beauty"
0.06557377049180328,"frozenset({'Rare Beauty', 'tarte'})","Rare Beauty, tarte"
0.0546448087431694,"frozenset({'Benefit Cosmetics', 'Charlotte Tilbury', 'Dior Beauty'})","Benefit Cosmetics, Charlotte Tilbury, Dior Beauty"
0.0546448087431694,"frozenset({'Benefit Cosmetics', 'Charlotte Tilbury', 'Rare Beauty'})","Benefit Cosmetics, Charlotte Tilbury, Rare Beauty"
0.09289617486338798,"frozenset({'Drunk Elephant', 'Charlotte Tilbury', 'Dior Beauty'})","Drunk Elephant, Charlotte Tilbury, Dior Beauty"
0.07103825136612021,"frozenset({'Charlotte Tilbury', 'Dior Beauty', 'Fenty Beauty'})","Charlotte Tilbury, Dior Beauty, Fenty Beauty"
0.07103825136612021,"frozenset({'Hourglass', 'Charlotte Tilbury', 'Dior Beauty'})","Hourglass, Charlotte Tilbury, Dior Beauty"
0.08196721311475409,"frozenset({'Huda Beauty', 'Charlotte Tilbury', 'Dior Beauty'})","Huda Beauty, Charlotte Tilbury, Dior Beauty"
0.0546448087431694,"frozenset({'MAKEUP BY MARIO', 'Charlotte Tilbury', 'Dior Beauty'})","MAKEUP BY MARIO, Charlotte Tilbury, Dior Beauty"
0.060109289617486336,"frozenset({'NARS', 'Charlotte Tilbury', 'Dior Beauty'})","NARS, Charlotte Tilbury, Dior Beauty"
0.0546448087431694,"frozenset({'PATRICK TA', 'Charlotte Tilbury', 'Dior Beauty'})","PATRICK TA, Charlotte Tilbury, Dior Beauty"
0.1092896174863388,"frozenset({'Charlotte Tilbury', 'Rare Beauty', 'Dior Beauty'})","Charlotte Tilbury, Rare Beauty, Dior Beauty"
0.0546448087431694,"frozenset({'Drunk Elephant', 'Charlotte Tilbury', 'Fenty Beauty'})","Drunk Elephant, Charlotte Tilbury, Fenty Beauty"
0.060109289617486336,"frozenset({'Drunk Elephant', 'Hourglass', 'Charlotte Tilbury'})","Drunk Elephant, Hourglass, Charlotte Tilbury"
0.07103825136612021,"frozenset({'Drunk Elephant', 'Huda Beauty', 'Charlotte Tilbury'})","Drunk Elephant, Huda Beauty, Charlotte Tilbury"
0.10382513661202186,"frozenset({'Drunk Elephant', 'Charlotte Tilbury', 'Rare Beauty'})","Drunk Elephant, Charlotte Tilbury, Rare Beauty"
0.060109289617486336,"frozenset({'Drunk Elephant', 'Charlotte Tilbury', 'Sol de Janeiro'})","Drunk Elephant, Charlotte Tilbury, Sol de Janeiro"
0.08196721311475409,"frozenset({'Huda Beauty', 'Charlotte Tilbury', 'Fenty Beauty'})","Huda Beauty, Charlotte Tilbury, Fenty Beauty"
0.0546448087431694,"frozenset({'NARS', 'Charlotte Tilbury', 'Fenty Beauty'})","NARS, Charlotte Tilbury, Fenty Beauty"
0.07103825136612021,"frozenset({'Charlotte Tilbury', 'Rare Beauty', 'Fenty Beauty'})","Charlotte Tilbury, Rare Beauty, Fenty Beauty"
0.07650273224043716,"frozenset({'PATRICK TA', 'Hourglass', 'Charlotte Tilbury'})","PATRICK TA, Hourglass, Charlotte Tilbury"
