,Anastasia Beverly Hills,Drunk Elephant,CLINIQUE,Peter Thomas Roth,Laura Mercier,Sol de Janeiro,Charlotte Tilbury,Rare Beauty,MAKE UP FOR EVER,Summer Fridays,Hourglass,Dior Beauty,Huda Beauty,ROSE INC,tarte,Fenty Beauty,Sephora Favorites,NARS,Too Faced,Glow Recipe,Clarins,MAKEUP BY MARIO,PATRICK TA,Bobbi Brown,Benefit Cosmetics,MAC Cosmetics,Yves Saint Laurent,YSL Beauty,Urban Decay,NATASHA DENONA,Natasha Denona,LANEIGE,Isle of Paradise,SEPHORA COLLECTION,goop,IT Cosmetics,Olaplex,Valentino,fresh,Tower 28,Givenchy,Lancôme,Glossier,Paula's Choice,DUO,The INKEY List,GUERLAIN,Fenty Skin,Kosas,HAUS LABS BY LADY GAGA,Saie,Westman Atelier,Ilia,ILIA,Gucci,TOM FORD,Gucci Beauty,Gisou,MERIT,Tom Ford Beauty,Shiseido,Caudalie,Dermalogica,Mario Badescu,Pat McGrath,Virtue,TWEEZERMAN,Iconic London,Peace Out,The Ordinary,Chanel Beauty,Estée Lauder,Sunday Riley,Armani Beauty,Giorgio Armani Beauty,First Aid Beauty,Milk Makeup,MILK MAKEUP,Hello Sunday
Hourglass,9.0,12.0,0.0,2.0,2.0,4.0,30.0,11.0,5.0,5.0,0.0,14.0,9.0,4.0,2.0,8.0,0.0,7.0,5.0,5.0,0.0,11.0,18.0,4.0,8.0,2.0,2.0,4.0,2.0,4.0,8.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Dior Beauty,8.0,20.0,2.0,2.0,3.0,7.0,43.0,24.0,7.0,5.0,14.0,0.0,17.0,7.0,6.0,15.0,2.0,14.0,5.0,4.0,2.0,12.0,13.0,7.0,11.0,5.0,2.0,8.0,5.0,1.0,5.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,4.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Huda Beauty,9.0,14.0,1.0,0.0,3.0,7.0,33.0,20.0,5.0,1.0,9.0,17.0,0.0,11.0,10.0,18.0,3.0,14.0,9.0,2.0,0.0,6.0,7.0,5.0,11.0,5.0,1.0,4.0,4.0,0.0,3.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ROSE INC,3.0,10.0,0.0,0.0,2.0,2.0,16.0,7.0,3.0,0.0,4.0,7.0,11.0,0.0,6.0,9.0,1.0,2.0,4.0,4.0,0.0,4.0,7.0,4.0,5.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
tarte,3.0,13.0,1.0,0.0,2.0,5.0,18.0,12.0,4.0,0.0,2.0,6.0,10.0,6.0,0.0,8.0,1.0,9.0,4.0,2.0,1.0,5.0,2.0,1.0,6.0,5.0,2.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fenty Beauty,8.0,14.0,2.0,0.0,4.0,8.0,33.0,17.0,5.0,0.0,8.0,15.0,18.0,9.0,8.0,0.0,4.0,14.0,11.0,2.0,0.0,4.0,8.0,2.0,12.0,4.0,4.0,5.0,5.0,0.0,4.0,3.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,3.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Sephora Favorites,0.0,3.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NARS,8.0,16.0,1.0,0.0,2.0,4.0,24.0,19.0,3.0,0.0,7.0,14.0,14.0,2.0,9.0,14.0,1.0,0.0,7.0,1.0,2.0,5.0,5.0,4.0,12.0,6.0,0.0,1.0,6.0,2.0,6.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Too Faced,6.0,8.0,1.0,1.0,1.0,4.0,16.0,9.0,3.0,1.0,5.0,5.0,9.0,4.0,4.0,11.0,0.0,7.0,0.0,2.0,0.0,2.0,2.0,0.0,7.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glow Recipe,3.0,6.0,0.0,1.0,2.0,3.0,7.0,3.0,0.0,1.0,5.0,4.0,2.0,4.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,5.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Clarins,0.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAKEUP BY MARIO,3.0,10.0,0.0,1.0,2.0,5.0,18.0,12.0,1.0,3.0,11.0,12.0,6.0,4.0,5.0,4.0,2.0,5.0,2.0,1.0,0.0,0.0,14.0,3.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
PATRICK TA,6.0,12.0,0.0,1.0,5.0,3.0,20.0,15.0,2.0,3.0,18.0,13.0,7.0,7.0,2.0,8.0,1.0,5.0,2.0,4.0,0.0,14.0,0.0,8.0,6.0,0.0,2.0,5.0,0.0,3.0,6.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,3.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
Bobbi Brown,1.0,3.0,0.0,0.0,1.0,0.0,10.0,4.0,2.0,0.0,4.0,7.0,5.0,4.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,3.0,8.0,0.0,4.0,3.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
