,Anastasia Beverly Hills,Drunk Elephant,CLINIQUE,Peter Thomas Roth,Laura Mercier,Sol de Janeiro,Charlotte Tilbury,Rare Beauty,MAKE UP FOR EVER,Summer Fridays,Hourglass,Dior Beauty,Huda Beauty,ROSE INC,tarte,Fenty Beauty,Sephora Favorites,NARS,Too Faced,Glow Recipe,Clarins,MAKEUP BY MARIO,PATRICK TA,Bobbi Brown,Benefit Cosmetics,MAC Cosmetics,Yves Saint Laurent,YSL Beauty,Urban Decay,NATASHA DENONA,Natasha Denona,LANEIGE,Isle of Paradise,SEPHORA COLLECTION,goop,IT Cosmetics,Olaplex,Valentino,fresh,Tower 28,Givenchy,Lancôme,Glossier,Paula's Choice,DUO,The INKEY List,GUERLAIN,Fenty Skin,Kosas,HAUS LABS BY LADY GAGA,Saie,Westman Atelier,Ilia,ILIA,Gucci,TOM FORD,Gucci Beauty,Gisou,MERIT,Tom Ford Beauty,Shiseido,Caudalie,Dermalogica,Mario Badescu,Pat McGrath,Virtue,TWEEZERMAN,Iconic London,Peace Out,The Ordinary,Chanel Beauty,Estée Lauder,Sunday Riley,Armani Beauty,Giorgio Armani Beauty,First Aid Beauty,Milk Makeup,MILK MAKEUP,Hello Sunday
Hourglass,1.6486486486486485,0.9420849420849422,0.0,2.472972972972973,1.0990990990990992,0.760914760914761,1.301564722617354,0.8500844594594593,1.6486486486486487,4.121621621621621,0.0,1.3316008316008316,0.9891891891891892,0.8601645123384254,0.3804573804573805,0.8601645123384254,0.0,0.8877338877338877,1.0304054054054053,2.472972972972973,0.0,2.0925155925155927,2.4729729729729732,1.4131274131274132,1.0990990990990992,0.6182432432432432,1.2364864864864864,1.318918918918919,0.6594594594594595,2.8262548262548264,2.637837837837838,1.348894348894349,0.0,1.0990990990990992,1.4131274131274132,0.0,0.0,0.0,0.0,2.8262548262548264,1.648648648648649,4.945945945945946,0.9891891891891892,0.0,0.7065637065637066,0.0,0.0,0.0,2.472972972972973,0.9891891891891892,2.472972972972973,2.8262548262548264,0.0,0.0,4.945945945945946,2.472972972972973,4.945945945945946,4.945945945945946,1.4131274131274132,0.0,0.8243243243243242,2.472972972972973,3.297297297297297,0.0,4.945945945945946,4.945945945945946,4.945945945945946,1.6486486486486485,0.0,0.0,0.0,0.0,4.945945945945946,0.0,0.0,0.0,4.945945945945946,4.945945945945946,0.0
Dior Beauty,1.0427350427350428,1.1172161172161172,1.1730769230769231,1.7596153846153848,1.1730769230769231,0.9474852071005919,1.327429149797571,1.3197115384615385,1.6423076923076925,2.932692307692308,1.3316008316008316,0.0,1.3294871794871796,1.0710702341137124,0.8121301775147931,1.1475752508361203,0.8798076923076924,1.2633136094674557,0.733173076923077,1.4076923076923078,2.3461538461538463,1.6242603550295862,1.2708333333333333,1.7596153846153846,1.0753205128205128,1.0997596153846154,0.8798076923076924,1.8769230769230771,1.1730769230769231,0.5027472527472527,1.1730769230769231,1.5996503496503498,0.0,1.1730769230769231,0.5027472527472527,0.0,0.0,0.0,1.7596153846153848,1.0054945054945055,1.564102564102564,3.5192307692307696,2.8153846153846156,0.0,1.7596153846153846,0.0,2.3461538461538463,0.0,3.5192307692307696,0.0,1.7596153846153848,1.5082417582417582,0.0,0.0,0.0,1.7596153846153848,0.0,0.0,1.5082417582417582,3.5192307692307696,1.1730769230769231,1.7596153846153848,2.3461538461538463,0.0,0.0,0.0,0.0,2.3461538461538463,0.0,3.5192307692307696,2.3461538461538463,0.0,0.0,3.5192307692307696,3.5192307692307696,3.5192307692307696,0.0,0.0,0.0
Huda Beauty,1.3555555555555556,0.9037037037037038,0.6777777777777777,0.0,1.3555555555555556,1.094871794871795,1.1771929824561405,1.2708333333333333,1.3555555555555556,0.6777777777777777,0.9891891891891892,1.3294871794871796,0.0,1.944927536231884,1.564102564102564,1.5913043478260869,1.5250000000000001,1.45982905982906,1.525,0.8133333333333335,0.0,0.9384615384615386,0.7907407407407407,1.4523809523809523,1.2425925925925925,1.2708333333333333,0.5083333333333333,1.0844444444444445,1.0844444444444445,0.0,0.8133333333333335,1.478787878787879,0.0,0.9037037037037037,0.5809523809523809,2.033333333333333,0.0,0.0,2.033333333333333,0.0,0.9037037037037037,1.3555555555555554,2.4400000000000004,0.0,0.5809523809523809,2.033333333333333,0.0,0.0,2.033333333333333,0.8133333333333335,2.033333333333333,0.5809523809523809,4.066666666666666,4.066666666666666,0.0,2.033333333333333,0.0,0.0,1.1619047619047618,4.066666666666666,0.6777777777777777,2.033333333333333,1.3555555555555554,2.033333333333333,0.0,0.0,0.0,1.3555555555555554,0.0,4.066666666666666,1.3555555555555554,4.066666666666666,0.0,4.066666666666666,4.066666666666666,4.066666666666666,0.0,0.0,0.0
ROSE INC,0.8840579710144928,1.2629399585921326,0.0,0.0,1.7681159420289856,0.6120401337792643,1.1167048054919908,0.8702445652173914,1.5913043478260873,0.0,0.8601645123384254,1.0710702341137124,1.944927536231884,0.0,1.8361204013377928,1.556710775047259,0.9945652173913043,0.4080267558528428,1.3260869565217392,3.1826086956521737,0.0,1.2240802675585285,1.5471014492753625,2.273291925465838,1.105072463768116,1.4918478260869565,0.9945652173913043,1.5913043478260873,0.5304347826086957,1.136645962732919,1.5913043478260873,0.7233201581027668,7.956521739130435,0.8840579710144928,0.0,0.0,0.0,2.6521739130434785,1.3260869565217392,0.0,0.0,0.0,1.5913043478260869,0.0,1.136645962732919,0.0,0.0,0.0,0.0,1.5913043478260869,3.9782608695652173,2.273291925465838,7.956521739130435,7.956521739130435,0.0,0.0,0.0,0.0,1.136645962732919,0.0,3.9782608695652177,3.9782608695652173,2.6521739130434785,3.9782608695652173,0.0,0.0,0.0,2.6521739130434785,7.956521739130435,0.0,0.0,0.0,7.956521739130435,0.0,0.0,7.956521739130435,0.0,0.0,0.0
tarte,0.782051282051282,1.4523809523809523,1.1730769230769231,0.0,1.564102564102564,1.3535502958579884,1.1113360323886639,1.3197115384615385,1.8769230769230771,0.0,0.3804573804573805,0.8121301775147931,1.564102564102564,1.8361204013377928,0.0,1.2240802675585285,0.8798076923076924,1.624260355029586,1.1730769230769231,1.4076923076923078,2.3461538461538463,1.3535502958579884,0.391025641025641,0.5027472527472527,1.1730769230769231,2.199519230769231,1.7596153846153848,0.9384615384615386,0.9384615384615386,0.0,0.4692307692307693,1.9195804195804198,0.0,0.0,1.0054945054945055,0.0,1.7596153846153848,2.3461538461538463,0.0,0.0,0.0,0.0,0.0,0.0,2.010989010989011,0.0,0.0,0.0,0.0,0.0,0.0,1.0054945054945055,7.038461538461539,7.038461538461539,7.038461538461539,3.5192307692307696,7.038461538461539,0.0,0.0,0.0,0.0,0.0,0.0,3.5192307692307696,0.0,0.0,0.0,2.3461538461538463,7.038461538461539,7.038461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fenty Beauty,1.178743961352657,0.8840579710144928,1.3260869565217392,0.0,1.7681159420289856,1.2240802675585285,1.1516018306636155,1.056725543478261,1.3260869565217392,0.0,0.8601645123384254,1.1475752508361203,1.5913043478260869,1.556710775047259,1.2240802675585285,0.0,1.9891304347826086,1.42809364548495,1.8233695652173914,0.7956521739130434,0.0,0.6120401337792643,0.8840579710144928,0.5683229813664595,1.3260869565217392,0.9945652173913043,1.9891304347826086,1.3260869565217392,1.3260869565217392,0.0,1.0608695652173914,1.0849802371541504,0.0,1.3260869565217392,1.136645962732919,1.9891304347826086,1.9891304347826086,0.0,0.6630434782608696,0.5683229813664595,1.3260869565217392,0.0,2.3869565217391306,3.9782608695652173,1.704968944099379,0.0,1.3260869565217392,3.9782608695652173,1.9891304347826086,0.7956521739130434,1.9891304347826086,0.5683229813664595,0.0,0.0,3.9782608695652173,1.9891304347826086,3.9782608695652173,3.9782608695652173,0.5683229813664595,0.0,1.3260869565217392,1.9891304347826086,1.3260869565217392,0.0,0.0,0.0,0.0,1.3260869565217392,0.0,0.0,0.0,3.9782608695652173,0.0,3.9782608695652173,3.9782608695652173,3.9782608695652173,0.0,0.0,0.0
Sephora Favorites,0.0,1.0892857142857144,3.8124999999999996,0.0,2.541666666666667,2.639423076923077,0.4013157894736842,1.072265625,0.0,0.0,0.0,0.8798076923076924,1.5250000000000001,0.9945652173913043,0.8798076923076924,1.9891304347826086,0.0,0.5865384615384616,0.0,0.0,0.0,1.7596153846153848,0.6354166666666667,0.0,0.6354166666666667,0.0,0.0,1.5250000000000001,0.0,0.0,0.0,0.0,0.0,5.083333333333334,3.267857142857143,0.0,5.71875,7.624999999999999,0.0,3.267857142857143,0.0,0.0,4.575,22.875,0.0,0.0,0.0,0.0,0.0,4.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NARS,1.3903133903133904,1.1916971916971917,0.782051282051282,0.0,1.0427350427350428,0.7218934911242605,0.9878542510121459,1.3930288461538463,0.9384615384615386,0.0,0.8877338877338877,1.2633136094674557,1.45982905982906,0.4080267558528428,1.624260355029586,1.42809364548495,0.5865384615384616,0.0,1.3685897435897436,0.4692307692307693,3.128205128205128,0.9023668639053255,0.6517094017094017,1.3406593406593408,1.564102564102564,1.7596153846153848,0.0,0.3128205128205128,1.8769230769230771,1.3406593406593408,1.8769230769230771,0.8531468531468532,0.0,1.0427350427350428,0.6703296703296704,0.0,0.0,0.0,1.564102564102564,0.0,1.0427350427350428,0.0,0.0,0.0,1.6758241758241759,0.0,0.0,0.0,0.0,0.9384615384615386,0.0,0.6703296703296704,0.0,0.0,0.0,2.3461538461538463,0.0,0.0,0.6703296703296704,4.6923076923076925,3.128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6923076923076925,4.6923076923076925,0.0,0.0,0.0,0.0
Too Faced,1.6944444444444444,0.9682539682539681,1.2708333333333333,1.9062499999999998,0.8472222222222222,1.1730769230769231,1.070175438596491,1.072265625,1.5250000000000001,1.2708333333333333,1.0304054054054053,0.733173076923077,1.525,1.3260869565217392,1.1730769230769231,1.8233695652173914,0.0,1.3685897435897436,0.0,1.525,0.0,0.5865384615384616,0.4236111111111111,0.0,1.482638888888889,0.9531249999999999,0.9531249999999999,0.5083333333333333,1.0166666666666666,2.1785714285714284,2.033333333333333,2.0795454545454546,0.0,0.8472222222222222,1.0892857142857142,0.0,0.0,0.0,1.2708333333333333,0.0,0.0,0.0,0.0,0.0,1.6339285714285716,3.8124999999999996,2.5416666666666665,7.624999999999999,0.0,0.0,0.0,1.0892857142857142,0.0,0.0,0.0,0.0,0.0,7.624999999999999,0.0,0.0,0.0,3.8124999999999996,2.5416666666666665,0.0,0.0,0.0,7.624999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glow Recipe,2.033333333333333,1.7428571428571429,0.0,4.575,4.066666666666667,2.111538461538462,1.1236842105263158,0.8578125000000001,0.0,3.05,2.472972972972973,1.4076923076923078,0.8133333333333335,3.1826086956521737,1.4076923076923078,0.7956521739130434,0.0,0.4692307692307693,1.525,0.0,6.1,0.7038461538461539,2.0333333333333337,2.6142857142857143,2.541666666666667,2.2875,4.575,4.880000000000001,1.2200000000000002,2.6142857142857143,2.4400000000000004,1.6636363636363638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.066666666666667,0.0,0.0,0.0,0.0,9.15,0.0,0.0,0.0,0.0,9.15,2.6142857142857143,0.0,0.0,18.3,9.15,18.3,0.0,2.6142857142857143,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0
