Marca,Tipo de Atributo,Frecuencia
Too Faced,TEXTURE,2
Too Faced,FORMULA,1
Too Faced,MATTE_FINISH,1
Urban Decay,NGRAM_ATTRIBUTE,9
Westman Atelier,NGRAM_ATTRIBUTE,32
Westman Atelier,MATTE_FINISH,2
Youth To The People,NGRAM_ATTRIBUTE,5
fresh,NGRAM_ATTRIBUTE,81
fresh,GLOSSY_FINISH,9
fresh,SKIN_TONE,9
goop,NGRAM_ATTRIBUTE,16
tarte,INDUSTRY_TERM,12
tarte,NGRAM_ATTRIBUTE,12
tarte,GLOSSY_FINISH,3
tarte,COVERAGE,1
tarte,SKIN_TONE,1
