Producto,Tipo de Atributo,Frecuencia
Hangover 3-in-1 Replenishing Primer & Setting Spray,PORE_MINIMIZING,1
Hangover 3-in-1 Replenishing Primer & Setting Spray (Too Faced),NGRAM_ATTRIBUTE,5
Hangover 3-in-1 Replenishing Primer & Setting Spray (Too Faced),GLOWY_FINISH,1
Hangover Pillow Balm Ultra Hydrating Lip Balm (Too Faced),NGRAM_ATTRIBUTE,5
Hangover Pillow Balm Ultra Hydrating Lip Balm (Too Faced),GLOWY_FINISH,1
Hangover Replenishing Face Primer (Too Faced),NGRAM_ATTRIBUTE,5
Hangover Replenishing Face Primer (Too Faced),GLOWY_FINISH,1
Heavenly Luxe Complexion Perfection Brush #7,NGRAM_ATTRIBUTE,7
Heavenly Luxe Complexion Perfection Brush #7,GLOSSY_FINISH,1
Heavenly Luxe Dual Airbrush Concealer Brush #2,NGRAM_ATTRIBUTE,7
Heavenly Luxe Dual Airbrush Concealer Brush #2,GLOSSY_FINISH,1
High Impact Mascara,NGRAM_ATTRIBUTE,6
High Impact Mascara,GLOSSY_FINISH,2
High Impact Mascara,FORMULA,1
Hollywood Contour Wand,NGRAM_ATTRIBUTE,20
Hollywood Contour Wand,GLOSSY_FINISH,1
Hollywood Contour Wand,MATTE_FINISH,1
Hollywood Contour Wand,OIL_CONTROL,1
Hollywood Contour Wand,PORE_MINIMIZING,1
Hollywood Flawless Filter,PORE_MINIMIZING,8
Hollywood Flawless Filter,NGRAM_ATTRIBUTE,6
Hollywood Flawless Filter,GLOSSY_FINISH,1
Hollywood Flawless Filter,OIL_CONTROL,1
Hot Lips Lipstick 2,NGRAM_ATTRIBUTE,15
Hot Lips Lipstick 2,FORMULA,1
Hydrating and Smoothing Lip Primer,NGRAM_ATTRIBUTE,2
Hydrating and Smoothing Lip Primer,GLOSSY_FINISH,1
Hydrating and Smoothing Lip Primer,OIL_CONTROL,1
Hydrating and Smoothing Lip Primer,PORE_MINIMIZING,1
ITA Kabuki Brush,NGRAM_ATTRIBUTE,7
ITA Kabuki Brush,GLOSSY_FINISH,1
ITA Kabuki Brush (NARS),GLOSSY_FINISH,1
ITA Kabuki Brush (NARS),TEXTURE,1
Iced Out Illuminating Powder Highlighter,NGRAM_ATTRIBUTE,2
Iced Out Illuminating Powder Highlighter,GLOSSY_FINISH,1
Iced Out Illuminating Powder Highlighter,OIL_CONTROL,1
Iced Out Illuminating Powder Highlighter,PORE_MINIMIZING,1
Icy Nude Eyeshadow Palette,NGRAM_ATTRIBUTE,24
Icy Nude Eyeshadow Palette,FORMULA,1
Icy Nude Eyeshadow Palette,GLOSSY_FINISH,1
Icy Nude Eyeshadow Palette,OIL_CONTROL,1
Icy Nude Eyeshadow Palette,PORE_MINIMIZING,1
Invisible UV Flawless Primer SPF 50,PORE_MINIMIZING,8
Invisible UV Flawless Primer SPF 50,NGRAM_ATTRIBUTE,6
Invisible UV Flawless Primer SPF 50,GLOSSY_FINISH,1
Invisible UV Flawless Primer SPF 50,OIL_CONTROL,1
Jewel Crush Blush & Highlighter Face Palette (Too Faced),NGRAM_ATTRIBUTE,5
Jewel Crush Blush & Highlighter Face Palette (Too Faced),GLOWY_FINISH,1
Jumbo Airbrush Flawless Setting Spray,PORE_MINIMIZING,4
Jumbo Airbrush Flawless Setting Spray,NGRAM_ATTRIBUTE,2
Jumbo Airbrush Flawless Setting Spray,GLOSSY_FINISH,1
Jumbo Airbrush Flawless Setting Spray,OIL_CONTROL,1
Jumbo Airbrush Flawless Setting Spray,SKIN_TONE,1
Killer Liner 36 Hour Waterproof Gel Eyeliner (Too Faced),NGRAM_ATTRIBUTE,5
Killer Liner 36 Hour Waterproof Gel Eyeliner (Too Faced),GLOWY_FINISH,1
Kissing Jelly Non-Sticky Lip Oil Gloss  (Too Faced),NGRAM_ATTRIBUTE,5
Kissing Jelly Non-Sticky Lip Oil Gloss  (Too Faced),GLOWY_FINISH,1
Kissing Jelly Perfect Pair Lip Gloss Set (Too Faced),NGRAM_ATTRIBUTE,5
Kissing Jelly Perfect Pair Lip Gloss Set (Too Faced),GLOWY_FINISH,1
Laguna Bronzing Cream,NGRAM_ATTRIBUTE,7
Laguna Bronzing Cream,GLOSSY_FINISH,1
Laguna Bronzing Cream (NARS),GLOSSY_FINISH,1
Laguna Bronzing Cream (NARS),TEXTURE,1
Laguna Talc-Free Bronzer Powder (NARS),GLOSSY_FINISH,1
Laguna Talc-Free Bronzer Powder (NARS),TEXTURE,1
Laguna Ultimate Face Palette (NARS),GLOSSY_FINISH,1
Laguna Ultimate Face Palette (NARS),TEXTURE,1
Lifted & Defined Brow Duo,NGRAM_ATTRIBUTE,2
Lifted & Defined Brow Duo,GLOSSY_FINISH,1
Lifted & Defined Brow Duo,OIL_CONTROL,1
Lifted & Defined Brow Duo,PORE_MINIMIZING,1
Light Reflecting Advanced Skincare Medium Coverage Foundation,NGRAM_ATTRIBUTE,7
Light Reflecting Advanced Skincare Medium Coverage Foundation,GLOSSY_FINISH,1
Light Reflecting Advanced Skincare Medium Coverage Foundation (NARS),GLOSSY_FINISH,1
Light Reflecting Advanced Skincare Medium Coverage Foundation (NARS),TEXTURE,1
Light Reflecting Loose Setting Powder,NGRAM_ATTRIBUTE,11
Light Reflecting Loose Setting Powder,GLOSSY_FINISH,3
Light Reflecting Loose Setting Powder,FORMULA,1
Light Reflecting Loose Setting Powder (NARS),GLOSSY_FINISH,1
Light Reflecting Loose Setting Powder (NARS),TEXTURE,1
Light Reflecting Pressed Setting Powder,NGRAM_ATTRIBUTE,7
Light Reflecting Pressed Setting Powder,GLOSSY_FINISH,1
Light Reflecting Pressed Setting Powder (NARS),GLOSSY_FINISH,1
Light Reflecting Pressed Setting Powder (NARS),TEXTURE,1
Light Reflecting Setting Powder Lunar New Year Set (NARS),GLOSSY_FINISH,1
Light Reflecting Setting Powder Lunar New Year Set (NARS),TEXTURE,1
Light Reflecting™ Hydrating Makeup Setting Mist (NARS),GLOSSY_FINISH,1
Light Reflecting™ Hydrating Makeup Setting Mist (NARS),TEXTURE,1
Light Reflecting™ Hydrating Primer with Hyaluronic Acid (NARS),GLOSSY_FINISH,1
Light Reflecting™ Hydrating Primer with Hyaluronic Acid (NARS),TEXTURE,1
Light Reflecting™ Undereye Brightener (NARS),GLOSSY_FINISH,1
Light Reflecting™ Undereye Brightener (NARS),TEXTURE,1
Lip Cheat Lip Liner,NGRAM_ATTRIBUTE,5
Lip Contour 2.0 Automatic Matte Lip Pencil,NGRAM_ATTRIBUTE,17
Lip Glow Oil,NGRAM_ATTRIBUTE,19
Lip Glow Oil,GLOSSY_FINISH,6
Lip Glow Oil,FORMULA,1
Lip Injection Extreme Lip Plumper Gloss (Too Faced),NGRAM_ATTRIBUTE,5
Lip Injection Extreme Lip Plumper Gloss (Too Faced),GLOWY_FINISH,1
Lip Injection Extreme Lip Shaper Plumping Lip Liner (Too Faced),NGRAM_ATTRIBUTE,5
Lip Injection Extreme Lip Shaper Plumping Lip Liner (Too Faced),GLOWY_FINISH,1
Lip Injection Hydrating & Plumping Lip Gloss (Too Faced),NGRAM_ATTRIBUTE,5
Lip Injection Hydrating & Plumping Lip Gloss (Too Faced),GLOWY_FINISH,1
Lip Injection Maximum Plump Extra Strength Hydrating Lip Plumper (Too Faced),NGRAM_ATTRIBUTE,5
Lip Injection Maximum Plump Extra Strength Hydrating Lip Plumper (Too Faced),GLOWY_FINISH,1
Lip Injection Power Plumping Cream Liquid Lipstick (Too Faced),NGRAM_ATTRIBUTE,5
Lip Injection Power Plumping Cream Liquid Lipstick (Too Faced),GLOWY_FINISH,1
Lip Injection Power Plumping Hydrating Lip Gloss (Too Faced),NGRAM_ATTRIBUTE,5
Lip Injection Power Plumping Hydrating Lip Gloss (Too Faced),GLOWY_FINISH,1
Lip Injection Power Plumping Hydrating Liquid Lip Balm (Too Faced),NGRAM_ATTRIBUTE,5
Lip Injection Power Plumping Hydrating Liquid Lip Balm (Too Faced),GLOWY_FINISH,1
Lip Lustre Lip Gloss,NGRAM_ATTRIBUTE,7
Lip Lustre Lip Gloss,GLOSSY_FINISH,2
Lip Lustre Lip Gloss,INDUSTRY_TERM,2
Lip Lustre Lip Gloss,OIL_CONTROL,1
Lip Lustre Lip Gloss,PORE_MINIMIZING,1
Lip Lustre Lip Gloss - Pillow Talk Collection,NGRAM_ATTRIBUTE,10
Lip Lustre Lip Gloss - Pillow Talk Collection,GLOSSY_FINISH,1
Lip Maximizer Serum,NGRAM_ATTRIBUTE,4
Lip Perfector Sheer Lip Gloss,NGRAM_ATTRIBUTE,4
Lip Perfector Sheer Lip Gloss,GLOSSY_FINISH,2
Lip Perfector Sheer Lip Gloss,FORMULA,1
Lip Suede Hydrating Matte Lipstick Trio,NGRAM_ATTRIBUTE,4
Lip Suede Hydrating Matte Lipstick Trio,MATTE_FINISH,1
Lip Suede Lipstick Palette,NGRAM_ATTRIBUTE,4
Lip Suede Lipstick Palette,MATTE_FINISH,1
Lippe Balm (Drunk Elephant),INGREDIENTS,2
Lit Up Glow Highlighter Stick,NGRAM_ATTRIBUTE,4
Luxury Eyeshadow Palette,NGRAM_ATTRIBUTE,17
Luxury Eyeshadow Palette,FORMULA,1
Luxury Eyeshadow Palette,GLOSSY_FINISH,1
Luxury Eyeshadow Palette,OIL_CONTROL,1
Luxury Eyeshadow Palette,PORE_MINIMIZING,1
Major Dimension III Matte Eyeshadow Palette,NGRAM_ATTRIBUTE,5
Major Dimension III Matte Eyeshadow Palette,SKIN_TONE,3
Major Dimension III Matte Eyeshadow Palette,MATTE_FINISH,1
Major Skin Crème Foundation and Finishing Powder Duo,NGRAM_ATTRIBUTE,25
Major Skin Crème Foundation and Finishing Powder Duo,SKIN_TYPE,2
Major Skin Crème Foundation and Finishing Powder Duo,COVERAGE,1
Major Skin Crème Foundation and Finishing Powder Duo,SKIN_TONE,1
Major Skin Hydra-Luxe Luminous Skin Perfecting Foundation For Natural Glow,NGRAM_ATTRIBUTE,20
Major Skin Hydra-Luxe Luminous Skin Perfecting Foundation For Natural Glow,COVERAGE,1
Makeup Insurance Longwear Setting Spray + Blue Light Defense (Too Faced),NGRAM_ATTRIBUTE,5
Makeup Insurance Longwear Setting Spray + Blue Light Defense (Too Faced),GLOWY_FINISH,1
Master Crystal Reflector™,NGRAM_ATTRIBUTE,2
Master Crystal Reflector™,MATTE_FINISH,1
Master Eye Prep & Set™,NGRAM_ATTRIBUTE,2
Master Eye Prep & Set™,MATTE_FINISH,1
Master Hold Brow Gel,NGRAM_ATTRIBUTE,2
Master Hold Brow Gel,MATTE_FINISH,1
Master Metallics® Eyeshadow Palette,NGRAM_ATTRIBUTE,2
Master Metallics® Eyeshadow Palette,MATTE_FINISH,1
Master Metals® Eyeshadow Palette,NGRAM_ATTRIBUTE,2
Master Metals® Eyeshadow Palette,MATTE_FINISH,1
Master Pro Puff,NGRAM_ATTRIBUTE,10
Master Pro Puff,COVERAGE,1
Master Pro Puff,GLOSSY_FINISH,1
Master Pro Puff,MATTE_FINISH,1
Matte & Satin Blush Trios Palette,NGRAM_ATTRIBUTE,2
Matte & Satin Blush Trios Palette,GLOSSY_FINISH,1
Matte & Satin Blush Trios Palette,OIL_CONTROL,1
Matte & Satin Blush Trios Palette,PORE_MINIMIZING,1
Matte Beauty Blush Wand,NGRAM_ATTRIBUTE,11
Matte Beauty Blush Wand,GLOSSY_FINISH,2
Matte Beauty Blush Wand,INDUSTRY_TERM,2
Matte Beauty Blush Wand,FIRMING,1
Matte Beauty Blush Wand,MATTE_FINISH,1
Matte Beauty Blush Wand,OIL_CONTROL,1
Matte Beauty Blush Wand,PORE_MINIMIZING,1
Matte Bronzer Powder,NGRAM_ATTRIBUTE,7
Matte Bronzer Powder,MATTE_FINISH,1
Matte Contour and Sculpt Cream Bronzer,NGRAM_ATTRIBUTE,2
Matte Contour and Sculpt Cream Bronzer,GLOSSY_FINISH,1
Matte Contour and Sculpt Cream Bronzer,OIL_CONTROL,1
Matte Contour and Sculpt Cream Bronzer,PORE_MINIMIZING,1
Matte Cream Contour & Highlight Sticks,NGRAM_ATTRIBUTE,2
Matte Cream Contour & Highlight Sticks,GLOSSY_FINISH,1
Matte Cream Contour & Highlight Sticks,OIL_CONTROL,1
Matte Cream Contour & Highlight Sticks,PORE_MINIMIZING,1
Matte Obsessions Eyeshadow Palette,NGRAM_ATTRIBUTE,2
Matte Obsessions Eyeshadow Palette,GLOSSY_FINISH,1
Matte Obsessions Eyeshadow Palette,OIL_CONTROL,1
Matte Obsessions Eyeshadow Palette,PORE_MINIMIZING,1
Matte Velvet Lipstick,NGRAM_ATTRIBUTE,7
Matte Velvet Lipstick,MATTE_FINISH,1
Matte Velvet Skin Full Coverage Foundation,NGRAM_ATTRIBUTE,13
Matte Velvet Skin Full Coverage Foundation,MATTE_FINISH,1
Matte Velvet Skin High Coverage Multi-Use Concealer,NGRAM_ATTRIBUTE,13
Matte Velvet Skin High Coverage Multi-Use Concealer,MATTE_FINISH,1
Mini Afterglow Lip Shine Gloss Set (NARS),GLOSSY_FINISH,1
Mini Afterglow Lip Shine Gloss Set (NARS),TEXTURE,1
Mini Afterglow Lip Shine Lip Gloss Set (NARS),GLOSSY_FINISH,1
Mini Afterglow Lip Shine Lip Gloss Set (NARS),TEXTURE,1
Mini Afterglow Liquid Blush & Lip Shine Duo,INDUSTRY_TERM,4
Mini Afterglow Liquid Blush & Lip Shine Duo (NARS),GLOSSY_FINISH,1
Mini Afterglow Liquid Blush & Lip Shine Duo (NARS),TEXTURE,1
Mini Airbrush Flawless Finish Setting Powder,NGRAM_ATTRIBUTE,6
Mini Airbrush Flawless Finish Setting Powder,PORE_MINIMIZING,4
Mini Airbrush Flawless Finish Setting Powder,GLOSSY_FINISH,1
Mini Airbrush Flawless Finish Setting Powder,OIL_CONTROL,1
Mini Airbrush Flawless Setting Spray,PORE_MINIMIZING,4
Mini Airbrush Flawless Setting Spray,NGRAM_ATTRIBUTE,2
Mini Airbrush Flawless Setting Spray,GLOSSY_FINISH,1
Mini Airbrush Flawless Setting Spray,OIL_CONTROL,1
Mini Airbrush Flawless Setting Spray,SKIN_TONE,1
Mini Airbrush Flawless Setting Spray Duo Set,PORE_MINIMIZING,4
Mini Airbrush Flawless Setting Spray Duo Set,NGRAM_ATTRIBUTE,2
Mini Airbrush Flawless Setting Spray Duo Set,GLOSSY_FINISH,1
Mini Airbrush Flawless Setting Spray Duo Set,OIL_CONTROL,1
Mini Airbrush Flawless Setting Spray Duo Set,SKIN_TONE,1
Mini Artist Color Pencil Lipliner & Eyeliner Kit,NGRAM_ATTRIBUTE,5
Mini Better Than Sex Foreplay Mascara Primer (Too Faced),NGRAM_ATTRIBUTE,5
Mini Better Than Sex Foreplay Mascara Primer (Too Faced),GLOWY_FINISH,1
Mini Better Than Sex Volumizing & Lengthening Mascara (Too Faced),NGRAM_ATTRIBUTE,5
Mini Better Than Sex Volumizing & Lengthening Mascara (Too Faced),GLOWY_FINISH,1
Mini Better Than Sex Waterproof Mascara,WATERPROOF,1
Mini Better Than Sex Waterproof Mascara (Too Faced),NGRAM_ATTRIBUTE,5
Mini Better Than Sex Waterproof Mascara (Too Faced),GLOWY_FINISH,1
Mini Born This Way Complexion-Inspired Eyeshadow Palette (Too Faced),NGRAM_ATTRIBUTE,5
Mini Born This Way Complexion-Inspired Eyeshadow Palette (Too Faced),GLOWY_FINISH,1
Mini Born This Way Super Coverage Multi-Use Concealer (Too Faced),NGRAM_ATTRIBUTE,5
Mini Born This Way Super Coverage Multi-Use Concealer (Too Faced),GLOWY_FINISH,1
Mini Brow Freeze® Gel,NGRAM_ATTRIBUTE,2
Mini Brow Freeze® Gel,GLOSSY_FINISH,1
Mini Brow Freeze® Gel,OIL_CONTROL,1
Mini Brow Freeze® Gel,PORE_MINIMIZING,1
Mini Brow Genius® Conditioning Brow Serum,NGRAM_ATTRIBUTE,2
Mini Brow Genius® Conditioning Brow Serum,GLOSSY_FINISH,1
Mini Brow Genius® Conditioning Brow Serum,OIL_CONTROL,1
Mini Brow Genius® Conditioning Brow Serum,PORE_MINIMIZING,1
Mini Charlotte’s Magic Serum with Vitamin C,NGRAM_ATTRIBUTE,5
Mini Charlotte’s Magic Serum with Vitamin C,INDUSTRY_TERM,2
Mini Charlotte’s Magic Serum with Vitamin C,GLOSSY_FINISH,1
Mini Climax Mascara,NGRAM_ATTRIBUTE,20
Mini Climax Mascara,GLOSSY_FINISH,4
Mini Climax Mascara,FORMULA,1
Mini Climax Mascara,OIL_CONTROL,1
Mini Climax Mascara (NARS),GLOSSY_FINISH,1
Mini Climax Mascara (NARS),TEXTURE,1
Mini Color & Care Lip Collection Set (fresh),NGRAM_ATTRIBUTE,9
Mini Color & Care Lip Collection Set (fresh),GLOSSY_FINISH,1
Mini Color & Care Lip Collection Set (fresh),SKIN_TONE,1
Mini Dewy Set Hydrating Setting Spray,NGRAM_ATTRIBUTE,2
Mini Dewy Set Hydrating Setting Spray,GLOSSY_FINISH,1
Mini Dewy Set Hydrating Setting Spray,OIL_CONTROL,1
Mini Dewy Set Hydrating Setting Spray,PORE_MINIMIZING,1
Mini Filmstar Bronze & Glow Contour Duo,NGRAM_ATTRIBUTE,5
Mini Filmstar Bronze & Glow Contour Duo,INDUSTRY_TERM,2
Mini Filmstar Bronze & Glow Contour Duo,GLOSSY_FINISH,1
Mini Glossy Pink Lip Gloss + Lip Liner Set,NGRAM_ATTRIBUTE,5
Mini Glossy Pink Lip Gloss + Lip Liner Set,INDUSTRY_TERM,2
Mini Glossy Pink Lip Gloss + Lip Liner Set,GLOSSY_FINISH,1
Mini Glowy Super Gel Multipurpose Illuminator Set,NGRAM_ATTRIBUTE,10
Mini Glowy Super Gel Multipurpose Illuminator Set,GLOSSY_FINISH,1
Mini Glowy Super Gel Multipurpose Illuminator Set,GLOWY_FINISH,1
Mini HD Skin Hydra Glow Skincare Foundation with Hyaluronic Acid,NGRAM_ATTRIBUTE,10
Mini HD Skin Hydra Glow Skincare Foundation with Hyaluronic Acid,GLOSSY_FINISH,1
Mini HD Skin Hydra Glow Skincare Foundation with Hyaluronic Acid,HYDRATION_MOISTURE,1
Mini HD Skin Hydra Glow Skincare Foundation with Hyaluronic Acid,SUN_PROTECTION,1
Mini HD Skin Undetectable Longwear Foundation,NGRAM_ATTRIBUTE,10
Mini HD Skin Undetectable Longwear Foundation,GLOSSY_FINISH,1
Mini HD Skin Undetectable Longwear Foundation,HYDRATION_MOISTURE,1
Mini HD Skin Undetectable Longwear Foundation,SUN_PROTECTION,1
Mini Hangover 3-in-1 Replenishing Primer & Setting Spray,NGRAM_ATTRIBUTE,2
Mini Hangover 3-in-1 Replenishing Primer & Setting Spray,GLOSSY_FINISH,1
Mini Hangover 3-in-1 Replenishing Primer & Setting Spray,OIL_CONTROL,1
Mini Hangover 3-in-1 Replenishing Primer & Setting Spray,PORE_MINIMIZING,1
Mini Hangover 3-in-1 Replenishing Primer & Setting Spray (Too Faced),NGRAM_ATTRIBUTE,5
Mini Hangover 3-in-1 Replenishing Primer & Setting Spray (Too Faced),GLOWY_FINISH,1
Mini Hangover Replenishing Face Primer (Too Faced),NGRAM_ATTRIBUTE,5
Mini Hangover Replenishing Face Primer (Too Faced),GLOWY_FINISH,1
Mini Hollywood Blush & Glow Palette,NGRAM_ATTRIBUTE,7
Mini Hollywood Blush & Glow Palette,GLOSSY_FINISH,2
Mini Hollywood Blush & Glow Palette,INDUSTRY_TERM,2
Mini Hollywood Blush & Glow Palette,OIL_CONTROL,1
Mini Hollywood Blush & Glow Palette,PORE_MINIMIZING,1
Mini Hollywood Flawless Filter,PORE_MINIMIZING,5
Mini Hollywood Flawless Filter,NGRAM_ATTRIBUTE,2
Mini Hollywood Flawless Filter,GLOSSY_FINISH,1
Mini Hollywood Flawless Filter,OIL_CONTROL,1
Mini Iconic Hollywood Lipstick Trio Set,NGRAM_ATTRIBUTE,5
Mini Iconic Hollywood Lipstick Trio Set,INDUSTRY_TERM,2
Mini Iconic Hollywood Lipstick Trio Set,GLOSSY_FINISH,1
Mini Laguna Bronzer Powder Talc-Free	 (NARS),GLOSSY_FINISH,1
Mini Laguna Bronzer Powder Talc-Free	 (NARS),TEXTURE,1
"Mini Lashes & Lips On The Fly: Primer, Mascara + Lip Plumper Set (Too Faced)",NGRAM_ATTRIBUTE,5
"Mini Lashes & Lips On The Fly: Primer, Mascara + Lip Plumper Set (Too Faced)",GLOWY_FINISH,1
Mini Light Reflecting Setting Powder,NGRAM_ATTRIBUTE,23
Mini Light Reflecting Setting Powder,GLOSSY_FINISH,3
Mini Light Reflecting Setting Powder,OIL_CONTROL,1
Mini Light Reflecting Setting Powder (NARS),GLOSSY_FINISH,1
Mini Light Reflecting Setting Powder (NARS),TEXTURE,1
Mini Lip Injection Extreme Hydrating Lip Plumper (Too Faced),NGRAM_ATTRIBUTE,5
Mini Lip Injection Extreme Hydrating Lip Plumper (Too Faced),GLOWY_FINISH,1
Mini Lip Injection Maximum Plump Extra Strength Hydrating Lip Plumper (Too Faced),NGRAM_ATTRIBUTE,5
Mini Lip Injection Maximum Plump Extra Strength Hydrating Lip Plumper (Too Faced),GLOWY_FINISH,1
Mini Naturally Better Than Sex Lengthening and Volumizing Mascara (Too Faced),NGRAM_ATTRIBUTE,5
Mini Naturally Better Than Sex Lengthening and Volumizing Mascara (Too Faced),GLOWY_FINISH,1
Mini Orgasm Blush and Lip Duo,NGRAM_ATTRIBUTE,23
Mini Orgasm Blush and Lip Duo,INDUSTRY_TERM,4
Mini Orgasm Blush and Lip Duo,GLOSSY_FINISH,3
Mini Orgasm Blush and Lip Duo,OIL_CONTROL,1
Mini Orgasm Blush and Lip Duo (NARS),GLOSSY_FINISH,1
Mini Orgasm Blush and Lip Duo (NARS),TEXTURE,1
Mini Pillow Talk Blush and Glow Beauty Highlighter Wand Set,NGRAM_ATTRIBUTE,5
Mini Pillow Talk Blush and Glow Beauty Highlighter Wand Set,INDUSTRY_TERM,2
Mini Pillow Talk Blush and Glow Beauty Highlighter Wand Set,GLOSSY_FINISH,1
Mini Pillow Talk Lipstick & Liner Set,NGRAM_ATTRIBUTE,10
Mini Pillow Talk Lipstick & Liner Set,GLOSSY_FINISH,1
Mini Powermatte High-Intensity Lip Pencil Duo (NARS),GLOSSY_FINISH,1
Mini Powermatte High-Intensity Lip Pencil Duo (NARS),TEXTURE,1
Mini Precious Gems Eyeshadow Palette,NGRAM_ATTRIBUTE,2
Mini Precious Gems Eyeshadow Palette,GLOSSY_FINISH,1
Mini Precious Gems Eyeshadow Palette,OIL_CONTROL,1
Mini Precious Gems Eyeshadow Palette,PORE_MINIMIZING,1
Mini Precious Gems Eyeshadow Palette (Too Faced),NGRAM_ATTRIBUTE,5
Mini Precious Gems Eyeshadow Palette (Too Faced),GLOWY_FINISH,1
Mini Prep Set Glow Hydrating Spray,NGRAM_ATTRIBUTE,7
Mini Prep Set Glow Hydrating Spray,GLOSSY_FINISH,1
Mini Radiant Creamy Concealer with Medium Coverage,NGRAM_ATTRIBUTE,4
Mini Radiant Creamy Concealer with Medium Coverage,GLOSSY_FINISH,2
Mini Radiant Creamy Concealer with Medium Coverage,TEXTURE,2
Mini Radiant Creamy Concealer with Medium Coverage (NARS),GLOSSY_FINISH,1
Mini Radiant Creamy Concealer with Medium Coverage (NARS),TEXTURE,1
Mini Spice Eye Palette,NGRAM_ATTRIBUTE,2
Mini Spice Eye Palette,GLOSSY_FINISH,1
Mini Spice Eye Palette,OIL_CONTROL,1
Mini Spice Eye Palette,PORE_MINIMIZING,1
Mini Step 1 Primer Hydra Booster,NGRAM_ATTRIBUTE,10
Mini Step 1 Primer Hydra Booster,GLOSSY_FINISH,1
Mini Step 1 Primer Hydra Booster,HYDRATION_MOISTURE,1
Mini Step 1 Primer Hydra Booster,SUN_PROTECTION,1
Mini Sugar Eye Palette,NGRAM_ATTRIBUTE,2
Mini Sugar Eye Palette,GLOSSY_FINISH,1
Mini Sugar Eye Palette,OIL_CONTROL,1
Mini Sugar Eye Palette,PORE_MINIMIZING,1
Mini Talc-Free Powder Blush,NGRAM_ATTRIBUTE,4
Mini Talc-Free Powder Blush,GLOSSY_FINISH,2
Mini Talc-Free Powder Blush,FORMULA,1
Mini Talc-Free Powder Blush (NARS),GLOSSY_FINISH,1
Mini Talc-Free Powder Blush (NARS),TEXTURE,1
Mini Translucent Loose Setting Powder,COVERAGE,2
Mini Translucent Loose Setting Powder,NGRAM_ATTRIBUTE,2
Mini Translucent Loose Setting Powder,GLOSSY_FINISH,1
Mini Translucent Loose Setting Powder,OIL_CONTROL,1
Mini Translucent Loose Setting Powder,PORE_MINIMIZING,1
Mini Ultra HD Microfinishing Loose Powder ,NGRAM_ATTRIBUTE,43
Mini Ultra HD Microfinishing Loose Powder ,GLOSSY_FINISH,2
Mini Ultra HD Microfinishing Loose Powder ,TEXTURE,2
Mini Ultra HD Microfinishing Loose Powder ,MATTE_FINISH,1
Mini Ultra HD Microfinishing Pressed Powder ,NGRAM_ATTRIBUTE,43
Mini Ultra HD Microfinishing Pressed Powder ,GLOSSY_FINISH,2
Mini Ultra HD Microfinishing Pressed Powder ,TEXTURE,2
Mini Ultra HD Microfinishing Pressed Powder ,MATTE_FINISH,1
Mini Ultra-Blur Talc-Free Translucent Loose Setting Powder,COVERAGE,1
Mini Water-Resistant Eye Primer,NGRAM_ATTRIBUTE,2
Mini Water-Resistant Eye Primer,GLOSSY_FINISH,1
Mini Water-Resistant Eye Primer,OIL_CONTROL,1
Mini Water-Resistant Eye Primer,PORE_MINIMIZING,1
Mist & Fix 24HR Hydrating Setting Spray,NGRAM_ATTRIBUTE,2
Mist & Fix 24HR Hydrating Setting Spray,GLOSSY_FINISH,1
Mist & Fix 24HR Hydrating Setting Spray,OIL_CONTROL,1
Mist & Fix 24HR Hydrating Setting Spray,PORE_MINIMIZING,1
ModCon Liquid-Gel Blush,NGRAM_ATTRIBUTE,4
ModCon Liquid-Gel Blush,GLOSSY_FINISH,2
ModCon Liquid-Gel Blush,FORMULA,1
MoistureGlow™ Plumping Lip Serum,NGRAM_ATTRIBUTE,2
Monoi Body Glow I,NGRAM_ATTRIBUTE,30
Monoi Body Glow I,GLOSSY_FINISH,4
Monoi Body Glow I,OIL_CONTROL,1
Monoi Body Glow I (NARS),GLOSSY_FINISH,1
Monoi Body Glow I (NARS),TEXTURE,1
Moon Crush Highlighter (Too Faced),NGRAM_ATTRIBUTE,5
Moon Crush Highlighter (Too Faced),GLOWY_FINISH,1
Multi-Peptide Lash and Brow Serum,NGRAM_ATTRIBUTE,5
Nail Glow Polish,NGRAM_ATTRIBUTE,19
Nail Glow Polish,GLOSSY_FINISH,6
Nail Glow Polish,FORMULA,1
Natural Radiant Longwear Full Coverage Foundation,GLOSSY_FINISH,1
Natural Radiant Longwear Full Coverage Foundation (NARS),GLOSSY_FINISH,1
Natural Radiant Longwear Full Coverage Foundation (NARS),TEXTURE,1
Natural-Looking Matte Powder Bronzer,NGRAM_ATTRIBUTE,2
Natural-Looking Matte Powder Bronzer,GLOSSY_FINISH,1
Natural-Looking Matte Powder Bronzer,OIL_CONTROL,1
Natural-Looking Matte Powder Bronzer,PORE_MINIMIZING,1
Naturally Better Than Sex Lengthening and Volumizing Mascara (Too Faced),NGRAM_ATTRIBUTE,5
Naturally Better Than Sex Lengthening and Volumizing Mascara (Too Faced),GLOWY_FINISH,1
No. 15 Blush Brush,GLOSSY_FINISH,1
No. 15 Blush Brush,GLOWY_FINISH,1
No. 15 Blush Brush,NGRAM_ATTRIBUTE,1
Nouveau Eyeshadow Palette,NGRAM_ATTRIBUTE,2
Nouveau Eyeshadow Palette,GLOSSY_FINISH,1
Nouveau Eyeshadow Palette,OIL_CONTROL,1
