Producto,Tipo de Atributo,Frecuencia
Artist Longwear Skin-fusing Matte Powder Bronzer,NGRAM_ATTRIBUTE,43
Artist Longwear Skin-fusing Matte Powder Bronzer,GLOSSY_FINISH,2
Artist Longwear Skin-fusing Matte Powder Bronzer,TEXTURE,2
Artist Longwear Skin-fusing Matte Powder Bronzer,MATTE_FINISH,1
Artist Longwear Skin-fusing Powder Blush,NGRAM_ATTRIBUTE,2
Artist Longwear Skin-fusing Powder Blush,GLOSSY_FINISH,1
Artist Longwear Skin-fusing Powder Blush,OIL_CONTROL,1
Artist Longwear Skin-fusing Powder Blush,PORE_MINIMIZING,1
Artist Longwear Skin-fusing Powder Highlighter,NGRAM_ATTRIBUTE,43
Artist Longwear Skin-fusing Powder Highlighter,GLOSSY_FINISH,2
Artist Longwear Skin-fusing Powder Highlighter,TEXTURE,2
Artist Longwear Skin-fusing Powder Highlighter,MATTE_FINISH,1
B-Goldi™ Bright Illuminating Drops with 5% Niacinamide (Drunk Elephant),INGREDIENTS,2
BACKSTAGE Eyeshadow Palette,NGRAM_ATTRIBUTE,14
BACKSTAGE Eyeshadow Palette,GLOSSY_FINISH,3
BACKSTAGE Eyeshadow Palette,PORE_MINIMIZING,1
BACKSTAGE Glow Face Palette,NGRAM_ATTRIBUTE,9
BACKSTAGE Glow Face Palette,GLOSSY_FINISH,3
BACKSTAGE Lash Curler,GLOSSY_FINISH,1
BACKSTAGE Lash Curler,NGRAM_ATTRIBUTE,1
BACKSTAGE Lash Curler,PORE_MINIMIZING,1
Backstage Concealer,NGRAM_ATTRIBUTE,5
Backstage Concealer,GLOSSY_FINISH,3
Backstage Concealer,FORMULA,1
Backstage Concealer,PORE_MINIMIZING,1
Beautiful Skin Sun-Kissed Glow Cream Bronzer,NGRAM_ATTRIBUTE,16
Beautiful Skin Sun-Kissed Glow Cream Bronzer,GLOSSY_FINISH,1
Beautiful Skin Sun-Kissed Glow Cream Bronzer,SUN_PROTECTION,1
Beauty Highlighter Wand,NGRAM_ATTRIBUTE,20
Beauty Highlighter Wand,GLOSSY_FINISH,2
Beauty Highlighter Wand,INDUSTRY_TERM,2
Beauty Highlighter Wand,FIRMING,1
Beauty Highlighter Wand,MATTE_FINISH,1
Beauty Highlighter Wand,OIL_CONTROL,1
